ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
266_s_at,1.45E-11,6.49E-16,1.02E+01,25.54449,4.19,CD24,CD24 molecule
205478_at,4.72E-11,5.47E-15,-9.7,23.52354,-3.12,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A
201650_at,4.72E-11,7.39E-15,9.63,23.23783,4.87,KRT19,keratin 19
201839_s_at,4.72E-11,8.47E-15,9.6,23.10772,2.46,EPCAM,epithelial cell adhesion molecule
201596_x_at,4.03E-10,9.51E-14,9.05,20.80869,2.87,KRT18,keratin 18
202988_s_at,4.03E-10,1.08E-13,9.02,20.68363,2.57,RGS1,regulator of G-protein signaling 1
201286_at,6.37E-10,2.02E-13,8.88,20.09309,2.19,SDC1,syndecan 1
219140_s_at,6.37E-10,2.47E-13,-8.84,19.89993,-3.83,RBP4,retinol binding protein 4
221009_s_at,6.37E-10,2.57E-13,-8.83,19.8603,-2.05,ANGPTL4,angiopoietin like 4
202286_s_at,1.52E-09,7.40E-13,8.59,18.85503,2.72,TACSTD2,tumor-associated calcium signal transducer 2
222317_at,1.52E-09,7.51E-13,-8.59,18.83994,-3.52,PDE3B,phosphodiesterase 3B
205610_at,1.53E-09,8.24E-13,-8.57,18.7516,-1.73,MYOM1,myomesin 1
209771_x_at,1.67E-09,9.75E-13,8.53,18.59152,1.92,CD24,CD24 molecule
218237_s_at,2.13E-09,1.41E-12,8.45,18.23867,1.84,SLC38A1,solute carrier family 38 member 1
43427_at,2.13E-09,1.44E-12,-8.44,18.22228,-3.02,ACACB,acetyl-CoA carboxylase beta
210964_s_at,4.71E-09,3.38E-12,-8.25,17.40676,-2.11,GYG2,glycogenin 2
201131_s_at,6.26E-09,4.77E-12,8.17,17.0771,2.41,CDH1,cadherin 1
219738_s_at,6.62E-09,5.38E-12,-8.15,16.96277,-1.91,PCDH9,protocadherin 9
212281_s_at,6.62E-09,5.64E-12,8.13,16.91759,2.73,TMEM97,transmembrane protein 97
212741_at,8.33E-09,7.61E-12,-8.07,16.63307,-2.44,MAOA,monoamine oxidase A
210715_s_at,8.33E-09,7.85E-12,8.06,16.60326,1.75,SPINT2,"serine peptidase inhibitor, Kunitz type 2"
204388_s_at,9.39E-09,9.27E-12,-8.02,16.44462,-1.95,MAOA,monoamine oxidase A
216379_x_at,1.04E-08,1.07E-11,7.99,16.30478,1.55,CD24,CD24 molecule
219295_s_at,1.24E-08,1.34E-11,-7.94,16.09556,-2.33,PCOLCE2,procollagen C-endopeptidase enhancer 2
214456_x_at,1.37E-08,1.55E-11,-7.91,15.95234,-3.34,SAA2///SAA1,serum amyloid A2///serum amyloid A1
213693_s_at,1.37E-08,1.60E-11,7.9,15.92528,2.5,MUC1,"mucin 1, cell surface associated"
210298_x_at,1.41E-08,1.71E-11,-7.88,15.85927,-1.89,FHL1,four and a half LIM domains 1
219737_s_at,2.32E-08,2.91E-11,-7.76,15.35161,-1.76,PCDH9,protocadherin 9
218087_s_at,2.62E-08,3.41E-11,-7.73,15.20276,-2.97,SORBS1,sorbin and SH3 domain containing 1
205220_at,3.84E-08,5.17E-11,-7.63,14.80493,-1.51,HCAR3,hydroxycarboxylic acid receptor 3
202768_at,4.09E-08,5.70E-11,-7.61,14.71191,-2.27,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
49452_at,4.94E-08,7.09E-11,-7.56,14.5027,-2.1,ACACB,acetyl-CoA carboxylase beta
218168_s_at,6.83E-08,1.01E-10,-7.48,14.16354,-1.9,COQ8A,coenzyme Q8A
215695_s_at,6.87E-08,1.05E-10,-7.47,14.13014,-2.22,GYG2,glycogenin 2
