ID,Gene.symbol,Gene.title,log2_fold_change,.-log10(Pvalue)(Infiltrating ductal carcinoma vs Normal),adj.P.Val
1007_s_at,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,0.792,7.549,0.00000529
200003_s_at,MIR6805///RPL28,microRNA 6805///ribosomal protein L28,0.468,2.561,0.0402
200016_x_at,HNRNPA1P10///HNRNPA1,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1,0.408,2.55,0.0407
200020_at,TARDBP,TAR DNA binding protein,0.574,2.471,0.0461
200037_s_at,CBX3,chromobox 3,0.52,3.517,0.00555
200041_s_at,ATP6V1G2-DDX39B///SNORD84///DDX39B,"ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B",0.855,2.535,0.0418
200044_at,GATC///SRSF9,glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9,0.53,2.715,0.0312
200050_at,ZNF146,zinc finger protein 146,0.406,2.624,0.0364
200052_s_at,ILF2,interleukin enhancer binding factor 2,0.856,3.246,0.0128
200065_s_at,MIR3620///ARF1,microRNA 3620///ADP ribosylation factor 1,1.106,3.015,0.019
200068_s_at,CANX,calnexin,0.453,2.82,0.0266
200078_s_at,ATP6V0B,ATPase H+ transporting V0 subunit b,1.043,3.05,0.0179
200080_s_at,H3F3AP4///H3F3B///H3F3A,"H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A",0.463,3.101,0.0164
200087_s_at,TMED2,transmembrane p24 trafficking protein 2,0.574,3.049,0.0179
200599_s_at,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1,0.52,2.437,0.0488
200602_at,APP,amyloid beta precursor protein,0.574,3.567,0.00745
200606_at,DSP,desmoplakin,1.133,9.891,8.19E-08
200608_s_at,RAD21,RAD21 cohesin complex component,0.919,5.781,0.00015
200626_s_at,SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3,1.003,3.598,0.00707
200644_at,MARCKSL1,MARCKS like 1,0.679,3.931,0.00391
200649_at,NUCB1,nucleobindin 1,-0.513,2.604,0.0376
200653_s_at,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,-0.699,2.505,0.044
200654_at,P4HB,prolyl 4-hydroxylase subunit beta,1.309,3.368,0.0105
200660_at,S100A11,S100 calcium binding protein A11,0.661,2.529,0.0422
200662_s_at,TOMM20,translocase of outer mitochondrial membrane 20,0.669,4.203,0.00245
200664_s_at,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,-0.539,2.62,0.0367
200670_at,XBP1,X-box binding protein 1,0.459,4.455,0.00154
200671_s_at,SPTBN1,"spectrin beta, non-erythrocytic 1",-0.621,5.094,0.000251
200677_at,PTTG1IP,pituitary tumor-transforming 1 interacting protein,0.457,2.864,0.0247
200681_at,GLO1,glyoxalase I,1.037,4.348,0.00187
200693_at,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,0.475,3.269,0.0123
200696_s_at,GSN,gelsolin,-0.843,3.958,0.00375
200708_at,GOT2,glutamic-oxaloacetic transaminase 2,0.812,5.122,0.000478
