Gene.title,adj.P.Val
CD24 molecule,1.45e-11
protein phosphatase 1 regulatory inhibitor subunit 1A,4.72e-11
keratin 19,4.72e-11
epithelial cell adhesion molecule,4.72e-11
keratin 18,4.03e-10
regulator of G-protein signaling 1,4.03e-10
syndecan 1,6.37e-10
retinol binding protein 4,6.37e-10
angiopoietin like 4,6.37e-10
phosphodiesterase 3B,1.52e-09
ADAM metallopeptidase with thrombospondin type 1 motif 12,1.0
NOP2/Sun RNA methyltransferase family member 5 pseudogene 1,1.0
zinc finger protein 235,1.0
integrin subunit beta 3,1.0
widely interspaced zinc finger motifs,1.0
huntingtin interacting protein 1,1.0
G protein-coupled receptor 161,1.0
adenylate kinase 1,1.0
acylglycerol kinase,1.0
HemK methyltransferase family member 1,1.0
